date,url,year,house
1986-09-25,,1986,hofreps
1986-10-07,,1986,hofreps
1986-10-08,,1986,hofreps
1986-10-09,,1986,hofreps
1986-10-10,,1986,hofreps
1986-10-14,,1986,hofreps
1986-10-15,,1986,hofreps
1986-10-16,,1986,hofreps
1986-10-17,,1986,hofreps
1986-10-20,,1986,hofreps
1986-10-21,,1986,hofreps
1986-10-22,,1986,hofreps
1986-10-23,,1986,hofreps
1986-11-11,,1986,hofreps
1986-11-12,,1986,hofreps
1986-11-13,,1986,hofreps
1986-11-14,,1986,hofreps
1986-11-17,,1986,hofreps
1986-11-18,,1986,hofreps
1986-11-19,,1986,hofreps
1986-11-20,,1986,hofreps
1986-11-25,,1986,hofreps
1986-11-26,,1986,hofreps
1986-11-27,,1986,hofreps
1986-11-28,,1986,hofreps
1987-02-17,,1987,hofreps
1987-02-18,,1987,hofreps
1987-02-19,,1987,hofreps
1987-02-20,,1987,hofreps
1987-02-23,,1987,hofreps
1987-02-24,,1987,hofreps
1987-02-25,,1987,hofreps
1987-02-26,,1987,hofreps
1987-03-17,,1987,hofreps
1987-03-18,,1987,hofreps
1987-03-19,,1987,hofreps
1987-03-20,,1987,hofreps
1987-03-23,,1987,hofreps
1987-03-24,,1987,hofreps
1987-03-25,,1987,hofreps
1987-03-26,,1987,hofreps
1987-03-30,,1987,hofreps
1987-03-31,,1987,hofreps
1987-04-01,,1987,hofreps
1987-04-02,,1987,hofreps
1987-04-28,,1987,hofreps
1987-04-29,,1987,hofreps
1987-04-30,,1987,hofreps
1987-05-01,,1987,hofreps
1987-05-04,,1987,hofreps
1987-05-05,,1987,hofreps
1987-05-06,,1987,hofreps
1987-05-07,,1987,hofreps
1987-05-11,,1987,hofreps
1987-05-12,,1987,hofreps
1987-05-13,,1987,hofreps
1987-05-14,,1987,hofreps
1987-05-26,,1987,hofreps
1987-05-27,,1987,hofreps
1987-05-28,,1987,hofreps
1987-05-29,,1987,hofreps
1987-06-01,,1987,hofreps
1987-06-02,,1987,hofreps
1987-06-03,,1987,hofreps
1987-06-04,,1987,hofreps
1987-09-14,,1987,hofreps
1987-09-15,,1987,hofreps
1987-09-16,,1987,hofreps
1987-09-17,,1987,hofreps
1987-09-18,,1987,hofreps
1987-09-21,,1987,hofreps
1987-09-22,,1987,hofreps
1987-09-23,,1987,hofreps
1987-09-24,,1987,hofreps
1987-10-06,,1987,hofreps
1987-10-07,,1987,hofreps
1987-10-08,,1987,hofreps
1987-10-20,,1987,hofreps
1987-10-21,,1987,hofreps
1987-10-22,,1987,hofreps
1987-10-26,,1987,hofreps
1987-10-27,,1987,hofreps
1987-10-28,,1987,hofreps
1987-10-29,,1987,hofreps
1987-11-02,,1987,hofreps
1987-11-03,,1987,hofreps
1987-11-04,,1987,hofreps
1987-11-05,,1987,hofreps
1987-11-17,,1987,hofreps
1987-11-18,,1987,hofreps
1987-11-19,,1987,hofreps
1987-11-23,,1987,hofreps
1987-11-24,,1987,hofreps
1987-11-25,,1987,hofreps
1987-11-26,,1987,hofreps
1987-12-07,,1987,hofreps
1987-12-08,,1987,hofreps
1987-12-09,,1987,hofreps
1987-12-10,,1987,hofreps
